ticker,earnings_date,time_of_day,price,normalized_price,base_price,filter_score,passed_filter,created_signal,top_20pct_performer,bottom_30pct_performer,prev_close,earnings_close,earnings_high,earnings_low,earnings_day_return,earnings_day_high_pct,earnings_day_low_pct,avg_abs_return,std_return,max_positive_return,max_negative_return,positive_count,negative_count,win_rate,directional_consistency,earnings_count,market_cap_usd,shares_outstanding,float_shares,float_percent,avg_volume_10d,avg_volume_3m,dollar_volume_daily,liquidity_score,currency,exchange,week_52_high,week_52_low,price_day_before,position_in_range,distance_from_high_pct,distance_from_low_pct,weeks_since_high,weeks_since_low,eps_actual,eps_estimate,eps_difference,surprise_percent,volatility_20d,volatility_60d,volatility_252d,volatility_data_points_20d,volatility_data_points_60d,volatility_data_points_252d,volume_avg_20d,volume_avg_60d,volume_avg_252d,day_before_volume,volume_trend_ratio,volume_data_points_20d,volume_data_points_60d,volume_data_points_252d,momentum_20d,momentum_60d,momentum_252d,relative_strength,momentum_data_points_20d,momentum_data_points_60d,momentum_data_points_252d,eps_revisions_up_last_7d,eps_revisions_down_last_7d,eps_revisions_up_last_30d,eps_revisions_down_last_30d,eps_trend_current,eps_trend_7days_ago,eps_trend_30days_ago,eps_trend_60days_ago
CINT.ST,2026-02-19,17:00,3.4240000247955322,117.90633516085332,2.9040000438690186,0.0,0,0,1,0,2.2799999713897705,3.444000005722046,3.562000036239624,2.7260000705718994,51.05263372537505,56.22807372529975,19.561408104328628,13.528194274715256,16.962104946430944,22.169568417922086,-38.96907217846281,9,10,0.47368421052631576,0.052631578947368474,19,126939558.4,354976383.0,298169512.0,83.99699987928493,2586547.5,2319295.909090909,589732.8225998282,30.9497167963809,SEK,STO,8.899999618530273,2.2279999256134033,2.2279999256134033,0.0,74.96629189764695,0.0,32.0,0.0,0.03,-0.02,0.05,250.0,0.6830068273731742,0.582578576922379,0.6495160849914137,20,60,252,1859237.45,2337108.1166666667,1160027.011904762,2512285.0,1.6027535832524589,20,60,252,-14.542729158190282,-26.070042490147454,-73.14487593808867,0.3564165248186855,20,60,252,,,,,0.1,,,
GOMX.ST,2026-02-19,17:00,22.450000762939453,100.67265260542978,22.299999237060547,100.0,1,1,0,1,21.149999618530273,22.200000762939453,22.899999618530273,21.5,4.964544507552785,8.2742318277243,1.6548481691842618,4.533007409513498,5.034123851415843,6.746034432906289,-8.018153588460024,5,10,0.3333333333333333,0.33333333333333337,15,299625292.8,140669159.0,109505078.0,77.8458325751418,408747.7,650649.1818181818,864501.3699075127,37.08659851534991,SEK,STO,25.200000762939453,3.759999990463257,20.799999237060547,0.7947760556274116,17.460322986774656,453.1914704738563,2.857142857142857,52.57142857142857,,,,,0.4999406167432426,0.5656719890023911,0.9843015960553986,20,60,252,659515.45,667367.6666666666,990399.4047619047,302044.0,0.665908568633025,20,60,252,-8.043479919433594,42.13709311738763,392.4330440706327,0.10737396800307039,20,60,252,,,,,,,,
LUG.ST,2026-02-19,17:00,717.0,101.19971771347917,708.5,0.0,0,0,0,0,704.0,714.0,717.5,700.0,1.4204545454545454,1.9176136363636365,-0.5681818181818182,2.115389005245515,2.542318893353515,5.405411711982054,-4.420541274086283,11,12,0.4782608695652174,0.04347826086956519,23,17475692134.4,241710818.0,100125736.0,41.42377111147752,181566.5,317341.51515151514,12782281.6,69.97529643316888,SEK,STO,814.0,276.0499572753906,690.5,0.7704247788986182,15.17199017199017,150.13588366947263,5.0,50.0,0.97,0.99,-0.020000000000000018,-1.77,0.6195647358618014,0.5066522798648383,0.5270105916123098,20,60,252,335409.7,307456.6666666667,292567.6904761905,154483.0,1.146434520688456,20,60,252,-9.395109395109396,-8.472411433330752,143.19519746699783,-0.05916686860453813,20,60,252,,,,,4.24024,,,
OVZON.ST,2026-02-19,17:00,57.099998474121094,100.17543591951068,57.0,100.0,1,1,0,0,50.900001525878906,57.0,58.900001525878906,55.20000076293945,11.984279550600196,15.717091866750904,8.447935379479928,6.943242677395199,9.61415501778354,27.372262678451737,-28.27224991018438,7,16,0.30434782608695654,0.3913043478260869,23,616763750.4,111530516.0,90140078.0,80.82099969841437,333479.4,537114.1818181818,1697410.1968849183,43.77929415538384,SEK,STO,57.79999923706055,17.260000228881836,50.5,0.8199309468264216,12.629756632210972,192.58400539008318,4.0,52.57142857142857,0.81,0.3,0.51,170.0,0.31763069923084847,0.6141443567230929,0.818642984318554,20,60,252,379783.75,562298.8333333334,593648.2420634921,498849.0,0.6397454301892488,20,60,252,-7.956596332523786,49.486057757318704,183.72352291322085,0.2693506904975512,20,60,252,,,,,2.885,,,
SAXG.ST,2026-02-19,17:00,11.850000381469727,106.75675652454973,11.100000381469727,100.0,1,1,1,0,10.350000381469727,11.899999618530273,12.050000190734863,11.0,14.975837487268217,16.425118324717708,6.280189319548332,,,,,0,0,,,0,9286785.6,7199059.0,1665705.0,23.137815650628784,1806.3,2654.469696969697,1869.5205689048767,0.0,SEK,STO,11.800000190734863,6.980000019073486,10.100000381469727,0.647302956696955,14.406777811749057,44.699145470924854,21.142857142857142,26.571428571428573,,,,,0.3223095755167363,0.49860206840699756,0.5959160520216219,20,60,252,1593.5,2766.633333333333,3000.7579365079364,2549.0,0.5310325036928502,20,60,252,-3.271022747984962,10.81370677067911,23.214295851130522,0.46582101132964104,20,60,252,,,,,,,,
VPLAY-B.ST,2026-02-19,17:00,1.100000023841858,112.86681762514085,0.9746000170707703,0.0,0,0,1,0,1.1495000123977661,1.0800000429153442,1.2044999599456787,0.8741999864578247,-6.046104282978687,4.784684380575782,-23.949545278010685,13.33721258674396,21.17846368530311,27.49999571591622,-74.40879084577492,13,10,0.5416666666666666,0.08333333333333326,24,550220646.4,4546479972.0,3148540488.0,69.25226785096679,10946130.6,9802235.772727273,1258257.7260407568,41.88413865077597,SEK,STO,1.5820000171661377,0.5540000200271606,1.1239999532699585,0.5544746447754499,28.950699047184724,102.88807087314777,21.714285714285715,41.857142857142854,,,,,0.42999028343877355,0.3789201621789908,0.6549226507306606,20,60,252,12587392.3,9846436.45,18357863.611111112,9048873.0,0.6856676009065386,20,60,252,10.582011977580626,29.302588779241223,94.76448641792753,0.30921487454711477,20,60,252,,,,,0.02494,,,
WISE.ST,2026-02-19,17:00,16.850000381469727,113.85135246159126,14.800000190734863,0.0,0,0,1,0,11.899999618530273,17.5,20.0,13.899999618530273,47.05882824357067,68.06723227836649,16.80672322783665,,,,,0,0,,,1,12453599.2,7390860.0,3064990.0,41.47000484382061,1695.5,3750.818181818182,2017.644935321808,1.1435386140975154,SEK,STO,21.200000762939453,11.5,11.899999618530273,0.04123707083184383,43.86792834775211,3.4782575524371606,46.714285714285715,9.714285714285714,,,,,0.4237504737327079,0.8995602453747596,0.6814888004845133,20,60,252,1659.0,3846.6666666666665,2807.4246031746034,103.0,0.5909330559132459,20,60,252,-7.031254365574504,-10.861428625516039,-28.096675727437447,0.38657344131674093,20,60,252,,,,,,,,
ATIC.ST,2026-02-18,17:00,25.5,85.0,30.0,100.0,1,0,0,1,31.600000381469727,25.0,30.799999237060547,25.0,-20.886076904416665,-2.53164916060666,-20.886076904416665,3.669107327552774,3.6270252532274556,4.739341680903137,-7.453412022166216,3,8,0.2727272727272727,0.4545454545454546,11,65308889.6,22755710.0,10035396.0,44.10056201278712,61719.6,96065.98484848485,195033.93835441588,22.680769504248847,SEK,STO,38.5,6.360000133514404,31.600000381469727,0.7853142611327345,17.922076931247464,396.8553414795012,6.0,52.714285714285715,,,,,0.5196358816542072,0.7048418342846478,1.0238977994524963,20,60,252,60957.45,100802.35,126882.0,76451.0,0.48042630160306427,20,60,252,9.722226453416253,33.33333065070524,396.8553414795012,0.08399365503419087,20,60,252,,,,,,,,
AVEN.ST,2026-02-18,17:00,6.900000095367432,97.45762951584325,7.079999923706055,0.0,0,0,0,1,7.019999980926514,6.900000095367432,7.239999771118164,6.739999771118164,-1.7094000838336783,3.1339001536950772,-3.988606988164046,6.068470916155003,7.221399691454652,9.35412643853141,-18.595045844131604,10,14,0.4166666666666667,0.16666666666666663,24,25986273.6,37123249.0,9537705.0,25.69199964151845,35369.7,15543.454545454546,24829.529332537648,8.926612951645303,SEK,STO,12.899999618530273,7.28000020980835,7.28000020980835,0.0,43.56588817761704,0.0,36.857142857142854,0.0,-0.03,0.16,-0.19,-118.75,0.29237081317334773,0.3551732802295583,0.38732187548565783,20,60,252,22504.75,16054.433333333332,21126.40873015873,32939.0,1.0652425732857111,20,60,252,-12.903230577494732,-14.805823107760801,-12.010937605432776,1.232695031324103,20,60,252,,,,,,,,
BIOA-B.ST,2026-02-18,17:00,358.6000061035156,103.34294124020624,347.0,100.0,1,1,1,0,324.20001220703125,364.3999938964844,364.3999938964844,339.79998779296875,12.39974712393958,12.39974712393958,4.811836828672139,8.146023173348372,8.776270778701624,29.920742984131465,-1.7527689106400142,8,2,0.8,0.6000000000000001,10,2997855232.0,74241489.0,55733334.0,75.07033432478704,187174.2,205257.0606060606,6068187.792484132,57.552318005064215,SEK,STO,342.79998779296875,155.0,315.0,0.8519702364218706,8.109681675297587,103.2258064516129,4.714285714285714,44.714285714285715,-0.1,-0.48,0.38,79.38,0.476906742951862,0.4717859703766422,0.5436555863200553,20,60,252,169401.05,207659.83333333334,255848.6150793651,217255.0,0.6621143911506077,20,60,252,9.749498613950253,13.277427805457807,49.400927284346196,0.26876879717326807,20,60,252,,,,,0.58,,,
